,running_saber11,running_sisben,spadies_any,tr
680,63,,1,1
681,58,,1,1
682,60,-0.7999983215332023,0,0
683,17,,0,1
684,-63,,0,0
685,25,,0,1
686,-42,,0,0
687,33,,1,1
688,-2,,0,0
689,16,-1.7999983215332023,1,0
690,41,26.43000030517578,1,1
691,92,,1,1
692,13,-9.629996337890624,0,0
693,47,2.7799996948242196,1,1
694,95,-12.91000274658203,1,0
695,17,,1,1
696,-37,20.869999237060547,1,0
697,-10,,0,0
698,-16,-9.77999786376953,1,0
699,25,2.410000762939454,0,1
700,20,,1,1
701,-2,14.150001831054688,0,0
702,-3,,0,0
703,75,,1,1
704,25,-1.589999847412109,0,0
705,75,37.740000076293946,0,1
706,41,32.1999991607666,1,1
707,5,,0,1
708,-36,39.82,1,0
709,112,,1,1
710,98,,1,1
711,78,-24.269996337890625,0,0
712,71,,1,1
713,77,,0,1
714,23,,0,1
715,25,,0,1
716,75,,0,1
717,22,,1,1
718,84,,0,1
719,67,,1,1
720,66,,1,1
721,105,,1,1
722,68,,0,1
723,12,,1,1
724,78,-26.36000030517578,1,0
725,7,9.139999694824219,1,1
726,29,-14.66000274658203,0,0
727,97,-7.22000030517578,1,0
728,44,-20.999999084472655,0,0
729,31,,0,1
730,37,,0,1
731,-7,,1,0
732,65,-20.48000244140625,1,0
733,23,,1,1
734,27,38.21,1,1
735,34,,1,1
736,49,,0,1
737,-15,9.82,0,0
738,148,,1,1
739,31,34.65000053405762,1,1
740,51,,1,1
741,55,,1,1
742,64,,0,1
743,63,-9.199996643066406,1,0
744,58,,1,1
745,13,,1,1
746,-16,,1,0
747,90,,1,1
748,9,,0,1
749,3,,0,1
750,-15,-11.010001220703124,0,0
751,-5,,0,0
752,42,26.009999237060548,1,1
753,62,,0,1
754,45,15.96,1,1
755,17,,1,1
756,-12,,0,0
757,52,,0,1
758,62,,1,1
759,22,-7.609999694824218,1,0
760,60,7.399998626708985,1,1
761,50,,0,1
762,138,,1,1
763,43,,1,1
764,33,,1,1
765,-24,,0,0
766,11,,1,1
767,111,-15.709998779296875,1,0
768,42,-23.260001831054687,0,0
769,68,-16.09999755859375,1,0
770,46,-2.530001678466796,0,0
771,24,,1,1
772,20,,0,1
773,6,,1,1
774,41,,1,1
775,-21,9.810001678466797,0,0
776,28,,1,1
777,123,,0,1
778,72,,1,1
779,-32,38.77000076293945,1,0
780,76,,1,1
781,73,,1,1
782,66,,1,1
783,58,,1,1
784,55,18.540001220703125,1,1
785,-10,,1,0
786,36,-16.010001831054687,0,0
787,63,22.239998779296876,0,1
788,60,,1,1
789,94,,1,1
790,85,,1,1
791,41,-5.650000610351562,1,0
792,103,,1,1
793,29,,0,1
794,-30,,1,0
795,49,,0,1
796,-61,,0,0
797,-1,-4.289999999999999,0,0
798,-8,17.79000183105469,1,0
799,53,,1,1
800,106,-1.7200009155273435,1,0
